Week Start Date	Grand,Turkey Club
10/3/2016,10
10/10/2016,11
10/17/2016,10
10/24/2016,10
10/31/2016,11
11/7/2016,12
11/14/2016,12
11/21/2016,13
11/28/2016,10
12/5/2016,10
10/2/2017,11
10/9/2017,10
10/16/2017,11
10/23/2017,10
10/30/2017,12
11/6/2017,14
11/13/2017,15
11/20/2017,15
11/27/2017,11
12/4/2017,10
